measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Ireland,Both,Age-standardized,Ischemic heart disease,,Rate,2023,1066.2,,
DALYs (Disability-Adjusted Life Years),Ireland,Both,Age-standardized,Depressive disorders,,Rate,2023,672.5,,
DALYs (Disability-Adjusted Life Years),Ireland,Both,Age-standardized,Drug use disorders,,Rate,2023,469.4,,
DALYs (Disability-Adjusted Life Years),Ireland,Both,Age-standardized,Headache disorders,,Rate,2023,670.6,,
DALYs (Disability-Adjusted Life Years),Ireland,Both,Age-standardized,Lung cancer,,Rate,2023,619.8,,
DALYs (Disability-Adjusted Life Years),Ireland,Both,Age-standardized,COPD,,Rate,2023,493.8,,
DALYs (Disability-Adjusted Life Years),Ireland,Both,Age-standardized,Self-harm,,Rate,2023,323.1,,
DALYs (Disability-Adjusted Life Years),Ireland,Both,Age-standardized,All causes,Tobacco,Percent,2023,0.077,,
DALYs (Disability-Adjusted Life Years),Ireland,Both,Age-standardized,All causes,High body-mass index,Percent,2023,0.066,,
DALYs (Disability-Adjusted Life Years),Ireland,Both,Age-standardized,All causes,High systolic blood pressure,Percent,2023,0.065,,
DALYs (Disability-Adjusted Life Years),Ireland,Both,Age-standardized,All causes,Dietary risks,Percent,2023,0.058,,
DALYs (Disability-Adjusted Life Years),Ireland,Both,Age-standardized,All causes,High fasting plasma glucose,Percent,2023,0.048,,
DALYs (Disability-Adjusted Life Years),Ireland,Both,Age-standardized,All causes,High alcohol use,Percent,2023,0.033,,
DALYs (Disability-Adjusted Life Years),Ireland,Both,Age-standardized,All causes,Occupational risks,Percent,2023,0.029,,
DALYs (Disability-Adjusted Life Years),Ireland,Both,Age-standardized,All causes,High LDL cholesterol,Percent,2023,0.025,,
DALYs (Disability-Adjusted Life Years),Ireland,Both,Age-standardized,All causes,Kidney dysfunction,Percent,2023,0.027,,
